pin10,sfha2018,sfha2024,prelimsfha,lomr2018,lomr2024,EFF_DATlomr2018,EFF_DATlomr2024,n
0111105047,1,1,1,0,0,NA,NA,1
0111105049,1,1,1,0,0,NA,NA,1
0111200009,1,1,1,0,0,NA,NA,1
0111200012,1,1,1,0,0,NA,NA,1
0111201001,1,1,1,0,0,NA,NA,1
0111201007,1,1,1,0,0,NA,NA,1
0111201009,1,1,1,0,0,NA,NA,1
0111201010,1,1,1,0,0,NA,NA,1
0111201016,1,1,1,0,0,NA,NA,1
0111201018,1,1,1,0,0,NA,NA,1
0111201020,1,1,1,0,0,NA,NA,1
0111201021,1,1,1,0,0,NA,NA,1
0111201022,1,1,1,0,0,NA,NA,1
0111202011,1,1,1,0,0,NA,NA,1
0111202012,1,1,1,0,0,NA,NA,1
0111202033,1,1,1,0,0,NA,NA,1
0111300004,1,1,1,0,0,NA,NA,1
0111300006,1,1,1,0,0,NA,NA,1
0111300012,1,1,1,0,0,NA,NA,1
0111300015,1,1,1,0,0,NA,NA,1
0111300016,1,1,1,0,0,NA,NA,1
0111300018,1,1,1,0,0,NA,NA,1
0111300020,1,1,1,0,0,NA,NA,1
0111302002,1,1,1,0,0,NA,NA,1
0111302011,1,1,1,0,0,NA,NA,1
0111302014,1,1,1,0,0,NA,NA,1
0111302016,1,1,1,0,0,NA,NA,1
0111302018,1,1,1,0,0,NA,NA,1
0112207003,1,1,1,0,0,NA,NA,1
0113103003,1,1,1,0,0,NA,NA,1
0113105001,1,1,1,0,0,NA,NA,1
0113105002,1,1,1,0,0,NA,NA,1
0113105003,1,1,1,0,0,NA,NA,1
0113105009,1,1,1,0,0,NA,NA,1
0113105011,1,1,1,0,0,NA,NA,1
0113105015,1,1,1,0,0,NA,NA,1
0113105016,1,1,1,0,0,NA,NA,1
0113105019,1,1,1,0,0,NA,NA,1
0113105020,1,1,1,0,0,NA,NA,1
0113105021,1,1,1,0,0,NA,NA,1
0113105022,1,1,1,0,0,NA,NA,1
0113105026,1,1,1,0,0,NA,NA,1
0113105027,1,1,1,0,0,NA,NA,1
0113203007,1,1,1,0,0,NA,NA,1
0113203009,1,1,1,0,0,NA,NA,1
0113203010,1,1,1,0,0,NA,NA,1
0113203011,1,1,1,0,0,NA,NA,1
0113204001,1,1,1,0,0,NA,NA,1
0113204005,1,1,1,0,0,NA,NA,1
0113205003,1,1,1,0,0,NA,NA,1
0113205004,1,1,1,0,0,NA,NA,1
0113205005,1,1,1,0,0,NA,NA,1
0113205008,1,1,1,0,0,NA,NA,1
0113205010,1,1,1,0,0,NA,NA,1
0113205011,1,1,1,0,0,NA,NA,1
0113205012,1,1,1,0,0,NA,NA,1
0113205013,1,1,1,0,0,NA,NA,1
0113205015,1,1,1,0,0,NA,NA,1
0113205016,1,1,1,0,0,NA,NA,1
0113205017,1,1,1,0,0,NA,NA,1
0113205018,1,1,1,0,0,NA,NA,1
0113205019,1,1,1,0,0,NA,NA,1
0113205024,1,1,1,0,0,NA,NA,1
0113205025,1,1,1,0,0,NA,NA,1
0113302002,1,1,0,0,0,NA,NA,1
0113302003,1,1,0,0,0,NA,NA,1
0113302011,1,1,0,0,0,NA,NA,1
0113302012,1,1,0,0,0,NA,NA,1
0113304003,1,1,0,0,0,NA,NA,1
0113304004,1,1,0,0,0,NA,NA,1
0113304006,1,1,0,0,0,NA,NA,1
0113401006,1,1,0,0,0,NA,NA,1
0113401007,1,1,1,0,0,NA,NA,1
0113401008,1,1,1,0,0,NA,NA,1
0113401009,1,1,1,0,0,NA,NA,1
0113401010,1,1,1,0,0,NA,NA,1
0113401011,1,1,1,0,0,NA,NA,1
0113401012,1,1,1,0,0,NA,NA,1
0113401013,1,1,1,0,0,NA,NA,1
0113401014,1,1,1,0,0,NA,NA,1
0113401015,1,1,1,0,0,NA,NA,1
0113401017,1,1,1,0,0,NA,NA,1
0113401019,1,1,1,0,0,NA,NA,1
0113401020,1,1,1,0,0,NA,NA,1
0113401021,1,1,1,0,0,NA,NA,1
0113401022,1,1,1,0,0,NA,NA,1
0113401023,1,1,1,0,0,NA,NA,1
0113401024,1,1,1,0,0,NA,NA,1
0113401025,1,1,0,0,0,NA,NA,1
0113401028,1,1,0,0,0,NA,NA,1
0113401029,1,1,1,0,0,NA,NA,1
0113401030,1,1,1,0,0,NA,NA,1
0113401031,1,1,1,0,0,NA,NA,1
0113401032,1,1,1,0,0,NA,NA,1
0113401037,1,1,1,0,0,NA,NA,1
0113401038,1,1,1,0,0,NA,NA,1
0113401039,1,1,1,0,0,NA,NA,1
0113401040,1,1,1,0,0,NA,NA,1
0113401042,1,1,1,0,0,NA,NA,1
0113401043,1,1,1,0,0,NA,NA,1
0113402028,1,1,1,0,0,NA,NA,1
0113402033,1,1,1,0,0,NA,NA,1
0117200007,1,1,1,0,0,NA,NA,1
0117200008,1,1,1,0,0,NA,NA,1
0117300001,1,1,1,0,0,NA,NA,1
0120201004,1,1,0,0,0,NA,NA,1
0120201005,1,1,1,0,0,NA,NA,1
0120201006,1,1,1,0,0,NA,NA,1
0120201007,1,1,1,0,0,NA,NA,1
0120201014,1,1,0,0,0,NA,NA,1
0120201015,1,1,0,0,0,NA,NA,1
