pin,pin10,mncplty,pltcltw,assssrn,assssrb,geoid,shp_Lng,shap_Ar,DFIRM_I,VERSION,LOMR_ID,EFF_DAT,CASE_NO,SCALE,STATUS,SOURCE_
02013000280000,0201300028,Palatine,Town of Palatine,022,517,17031803606,662.1837029808542,24579.722536324058,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013000290000,0201300029,Palatine,Town of Palatine,022,517,17031803606,629.7696836575374,22207.114215562506,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013000300000,0201300030,Palatine,Town of Palatine,022,517,17031803606,690.0245716273566,28515.47097070827,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013000310000,0201300031,Palatine,Town of Palatine,022,528,17031803606,693.8845489024533,28967.264009869687,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013010080000,0201301008,Palatine,Town of Palatine,022,517,17031803608,551.5341959350194,19058.56843787187,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020180000,0201302018,Palatine,Town of Palatine,022,517,17031803606,781.5961382739359,26711.433286863954,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020190000,0201302019,Palatine,Town of Palatine,022,517,17031803606,878.9595522027275,41533.377120260106,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020230000,0201302023,Palatine,Town of Palatine,022,290,17031803611,10685.494849185148,557483.3044814339,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020240000,0201302024,Palatine,Town of Palatine,022,211,17031803606,238.03392101204494,2769.289730967111,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020250000,0201302025,Palatine,Town of Palatine,022,211,17031803606,249.653523106196,2610.30412043766,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020260000,0201302026,Palatine,Town of Palatine,022,211,17031803606,266.69792517368336,2633.42964434467,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020270000,0201302027,Palatine,Town of Palatine,022,211,17031803606,254.5359800435774,2724.4091609242823,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020280000,0201302028,Palatine,Town of Palatine,022,211,17031803606,212.64985776271465,2615.5671178113157,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020290000,0201302029,Palatine,Town of Palatine,022,211,17031803606,205.80376786064585,2642.1923941408554,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020300000,0201302030,Palatine,Town of Palatine,022,211,17031803606,213.1371666486339,2465.0431264666245,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020310000,0201302031,Palatine,Town of Palatine,022,211,17031803606,220.60079205809797,2510.7274020573354,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020320000,0201302032,Palatine,Town of Palatine,022,211,17031803606,217.47894908167308,2724.6178143289044,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020330000,0201302033,Palatine,Town of Palatine,022,211,17031803606,216.42788036409314,2854.259391039337,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020340000,0201302034,Palatine,Town of Palatine,022,211,17031803611,236.59850807215025,2836.5894380506575,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020350000,0201302035,Palatine,Town of Palatine,022,211,17031803611,235.94542376803616,2634.5666163733,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020360000,0201302036,Palatine,Town of Palatine,022,211,17031803611,220.11900493390732,2853.3463071166757,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020370000,0201302037,Palatine,Town of Palatine,022,211,17031803611,223.10154288902106,2805.918253106456,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020380000,0201302038,Palatine,Town of Palatine,022,211,17031803611,261.36445832879514,2602.334037355184,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020390000,0201302039,Palatine,Town of Palatine,022,211,17031803611,268.5269053190439,2683.438702581979,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020400000,0201302040,Palatine,Town of Palatine,022,211,17031803611,235.40255846238432,2903.637652536277,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020410000,0201302041,Palatine,Town of Palatine,022,211,17031803611,208.20529239153657,2699.371843129503,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020420000,0201302042,Palatine,Town of Palatine,022,211,17031803611,222.77963913137984,2542.80427750608,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020430000,0201302043,Palatine,Town of Palatine,022,211,17031803611,222.42928752642715,2699.8002348370223,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020440000,0201302044,Palatine,Town of Palatine,022,211,17031803611,226.3317238687025,2739.4019455295024,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020450000,0201302045,Palatine,Town of Palatine,022,211,17031803611,222.60410680321777,2552.153311578626,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020460000,0201302046,Palatine,Town of Palatine,022,211,17031803611,230.1841988059129,2782.4607005638713,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020470000,0201302047,Palatine,Town of Palatine,022,211,17031803611,235.65966144786867,2869.5559362540425,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020480000,0201302048,Palatine,Town of Palatine,022,211,17031803611,251.20322595461306,2639.6285139551374,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020490000,0201302049,Palatine,Town of Palatine,022,211,17031803611,242.34437639736421,2586.222978171653,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020500000,0201302050,Palatine,Town of Palatine,022,211,17031803611,222.71090947357126,2713.5074602912405,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020510000,0201302051,Palatine,Town of Palatine,022,211,17031803611,222.2300296572405,2726.235949636728,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020520000,0201302052,Palatine,Town of Palatine,022,211,17031803611,227.13003975424834,2815.1828746169126,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020530000,0201302053,Palatine,Town of Palatine,022,211,17031803611,217.09317207764042,2800.056652549148,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020540000,0201302054,Palatine,Town of Palatine,022,211,17031803611,214.75379812474816,2558.0026206952575,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020550000,0201302055,Palatine,Town of Palatine,022,211,17031803611,217.46392012961834,2813.469475761558,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020560000,0201302056,Palatine,Town of Palatine,022,211,17031803611,219.3140252771622,2801.1155858813922,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020570000,0201302057,Palatine,Town of Palatine,022,211,17031803611,214.03943627824054,2605.7106655966054,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020580000,0201302058,Palatine,Town of Palatine,022,211,17031803611,234.15718992844148,2775.8469783283085,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020590000,0201302059,Palatine,Town of Palatine,022,211,17031803611,241.6735105234389,2548.515268232755,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020600000,0201302060,Palatine,Town of Palatine,022,211,17031803611,233.24901913719188,2808.6173823754166,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020610000,0201302061,Palatine,Town of Palatine,022,211,17031803611,233.6817684284128,2714.745589969392,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020620000,0201302062,Palatine,Town of Palatine,022,211,17031803611,257.56995518777177,2619.51366263465,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020630000,0201302063,Palatine,Town of Palatine,022,211,17031803611,246.55589592861799,2493.212380441031,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020640000,0201302064,Palatine,Town of Palatine,022,211,17031803611,231.46430201029574,2861.340908308243,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020650000,0201302065,Palatine,Town of Palatine,022,211,17031803611,218.17877827913063,2660.3615808757086,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020660000,0201302066,Palatine,Town of Palatine,022,211,17031803611,240.8707094242523,2524.60119061739,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020670000,0201302067,Palatine,Town of Palatine,022,211,17031803611,238.3862650579458,2818.0008493856267,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020680000,0201302068,Palatine,Town of Palatine,022,211,17031803611,235.12956526337587,2833.032613986218,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020690000,0201302069,Palatine,Town of Palatine,022,211,17031803611,240.70422367373814,2584.7194670613726,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020700000,0201302070,Palatine,Town of Palatine,022,211,17031803611,235.57149019159309,2576.3819990161296,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020710000,0201302071,Palatine,Town of Palatine,022,211,17031803611,225.13452611550144,2927.6769424329573,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020720000,0201302072,Palatine,Town of Palatine,022,299,17031803611,417.4982520117011,7772.961216803007,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020770000,0201302077,Palatine,Town of Palatine,022,299,17031803606,3559.827631034202,802114.7274270641,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013020810000,0201302081,Palatine,Town of Palatine,022,531,17031803606,2637.3963076396476,218901.7718042392,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030010000,0201303001,Palatine,Town of Palatine,022,202,17031803606,483.09855487172933,14144.509095819098,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030020000,0201303002,Palatine,Town of Palatine,022,203,17031803606,491.7184763626599,13563.78405928805,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030030000,0201303003,Palatine,Town of Palatine,022,203,17031803606,595.2062893300517,17247.5326555793,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030040000,0201303004,Palatine,Town of Palatine,022,234,17031803606,470.55281758721594,12003.741859816699,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030050000,0201303005,Palatine,Town of Palatine,022,203,17031803606,438.63031087870473,11589.674705657753,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030060000,0201303006,Palatine,Town of Palatine,022,234,17031803611,399.00865795091875,9715.33042742524,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030070000,0201303007,Palatine,Town of Palatine,022,234,17031803611,397.006030052966,9740.584839174531,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030080000,0201303008,Palatine,Town of Palatine,022,234,17031803611,437.3962409124066,10535.6483530532,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030090000,0201303009,Palatine,Town of Palatine,022,203,17031803611,430.6658882015569,11238.861661918461,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030100000,0201303010,Palatine,Town of Palatine,022,234,17031803611,432.1915706486696,10718.45206392887,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030110000,0201303011,Palatine,Town of Palatine,022,203,17031803611,426.1438914925147,10373.315835645733,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013030120000,0201303012,Palatine,Town of Palatine,022,234,17031803611,465.7286682246878,13098.38303676782,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040010000,0201304001,Palatine,Town of Palatine,022,203,17031803606,531.4845663488474,16156.254489116214,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040020000,0201304002,Palatine,Town of Palatine,022,203,17031803606,511.241341557267,15242.314892397957,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040030000,0201304003,Palatine,Town of Palatine,022,202,17031803606,434.0663019869113,10534.380304443213,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040040000,0201304004,Palatine,Town of Palatine,022,203,17031803606,488.21062823044963,13567.806294888009,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040050000,0201304005,Palatine,Town of Palatine,022,203,17031803606,479.63831118401714,12809.741051929237,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040060000,0201304006,Palatine,Town of Palatine,022,203,17031803606,449.2171346212833,11231.340048283984,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040070000,0201304007,Palatine,Town of Palatine,022,203,17031803606,451.6851400753314,11441.383463208329,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040080000,0201304008,Palatine,Town of Palatine,022,203,17031803606,448.5755792493495,11218.633321497933,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040090000,0201304009,Palatine,Town of Palatine,022,203,17031803606,448.92589636261675,11246.015221381911,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040100000,0201304010,Palatine,Town of Palatine,022,234,17031803606,452.939182046638,11545.775149512629,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040110000,0201304011,Palatine,Town of Palatine,022,234,17031803606,451.8773619026563,11469.984316073496,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040120000,0201304012,Palatine,Town of Palatine,022,234,17031803606,455.21894390773855,11725.987320216338,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040130000,0201304013,Palatine,Town of Palatine,022,203,17031803606,473.43019651812835,13085.300450403412,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040140000,0201304014,Palatine,Town of Palatine,022,234,17031803606,498.29028506477135,14941.834495878422,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040150000,0201304015,Palatine,Town of Palatine,022,234,17031803611,424.0479055435301,10505.437211405835,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040160000,0201304016,Palatine,Town of Palatine,022,234,17031803611,440.5200056639425,11196.87565136489,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040170000,0201304017,Palatine,Town of Palatine,022,234,17031803611,470.18685556051236,12100.1279942067,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040180000,0201304018,Palatine,Town of Palatine,022,234,17031803611,470.7098270572813,12124.465989964572,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040190000,0201304019,Palatine,Town of Palatine,022,207,17031803611,473.9901651391991,12385.607319430022,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040200000,0201304020,Palatine,Town of Palatine,022,234,17031803611,471.11858490849215,12151.087587149277,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040210000,0201304021,Palatine,Town of Palatine,022,234,17031803611,472.9821419872429,12290.802873403896,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040220000,0201304022,Palatine,Town of Palatine,022,234,17031803611,470.91996621534236,12120.042686124441,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040230000,0201304023,Palatine,Town of Palatine,022,234,17031803611,476.0634379505759,12522.722154199186,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040240000,0201304024,Palatine,Town of Palatine,022,234,17031803611,470.90549488203783,12106.906732312491,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040250000,0201304025,Palatine,Town of Palatine,022,234,17031803611,473.53551242620404,12312.773250181019,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040260000,0201304026,Palatine,Town of Palatine,022,234,17031803611,470.45642519913065,12065.428782151768,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040270000,0201304027,Palatine,Town of Palatine,022,207,17031803611,474.2180721658265,12355.12399735798,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013040280000,0201304028,Palatine,Town of Palatine,022,234,17031803611,472.90306323048014,12233.133330733965,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013050010000,0201305001,Palatine,Town of Palatine,022,234,17031803606,451.6517601348076,11061.889100938057,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013050020000,0201305002,Palatine,Town of Palatine,022,203,17031803606,428.5952585359054,10540.099654180405,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013050030000,0201305003,Palatine,Town of Palatine,022,234,17031803606,435.0841037857852,11430.061941194936,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013050040000,0201305004,Palatine,Town of Palatine,022,234,17031803611,491.12930044850793,14691.553218270012,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013050050000,0201305005,Palatine,Town of Palatine,022,203,17031803611,475.6691335824918,13487.807991409187,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013050060000,0201305006,Palatine,Town of Palatine,022,207,17031803611,410.21741857713863,10406.559665533481,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013050070000,0201305007,Palatine,Town of Palatine,022,234,17031803611,426.21082094977635,11094.872142457956,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013050080000,0201305008,Palatine,Town of Palatine,022,234,17031803611,449.34803772215275,11674.214653088256,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02013050090000,0201305009,Palatine,Town of Palatine,022,234,17031803611,443.96904905379694,11126.677166672062,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
