tax_code_num,agency_num,agency_name,minor_type
14022,030200000,VILLAGE OF CALUMET PARK,MUNI
14023,030200000,VILLAGE OF CALUMET PARK,MUNI
14029,030200000,VILLAGE OF CALUMET PARK,MUNI
14030,030200000,VILLAGE OF CALUMET PARK,MUNI
14031,030200000,VILLAGE OF CALUMET PARK,MUNI
14032,030200000,VILLAGE OF CALUMET PARK,MUNI
14033,030200000,VILLAGE OF CALUMET PARK,MUNI
14045,030200000,VILLAGE OF CALUMET PARK,MUNI
70001,030210000,CITY OF CHICAGO,MUNI
70002,030210000,CITY OF CHICAGO,MUNI
70003,030210000,CITY OF CHICAGO,MUNI
70004,030210000,CITY OF CHICAGO,MUNI
70005,030210000,CITY OF CHICAGO,MUNI
70006,030210000,CITY OF CHICAGO,MUNI
70007,030210000,CITY OF CHICAGO,MUNI
70008,030210000,CITY OF CHICAGO,MUNI
70009,030210000,CITY OF CHICAGO,MUNI
70010,030210000,CITY OF CHICAGO,MUNI
70011,030210000,CITY OF CHICAGO,MUNI
70012,030210000,CITY OF CHICAGO,MUNI
70013,030210000,CITY OF CHICAGO,MUNI
70014,030210000,CITY OF CHICAGO,MUNI
70015,030210000,CITY OF CHICAGO,MUNI
70016,030210000,CITY OF CHICAGO,MUNI
70017,030210000,CITY OF CHICAGO,MUNI
70018,030210000,CITY OF CHICAGO,MUNI
70019,030210000,CITY OF CHICAGO,MUNI
70020,030210000,CITY OF CHICAGO,MUNI
70021,030210000,CITY OF CHICAGO,MUNI
70022,030210000,CITY OF CHICAGO,MUNI
70023,030210000,CITY OF CHICAGO,MUNI
70024,030210000,CITY OF CHICAGO,MUNI
70025,030210000,CITY OF CHICAGO,MUNI
70026,030210000,CITY OF CHICAGO,MUNI
70027,030210000,CITY OF CHICAGO,MUNI
70028,030210000,CITY OF CHICAGO,MUNI
70029,030210000,CITY OF CHICAGO,MUNI
70030,030210000,CITY OF CHICAGO,MUNI
70031,030210000,CITY OF CHICAGO,MUNI
70032,030210000,CITY OF CHICAGO,MUNI
70033,030210000,CITY OF CHICAGO,MUNI
70034,030210000,CITY OF CHICAGO,MUNI
70035,030210000,CITY OF CHICAGO,MUNI
70036,030210000,CITY OF CHICAGO,MUNI
70037,030210000,CITY OF CHICAGO,MUNI
70038,030210000,CITY OF CHICAGO,MUNI
70039,030210000,CITY OF CHICAGO,MUNI
70040,030210000,CITY OF CHICAGO,MUNI
70041,030210000,CITY OF CHICAGO,MUNI
70042,030210000,CITY OF CHICAGO,MUNI
70043,030210000,CITY OF CHICAGO,MUNI
70044,030210000,CITY OF CHICAGO,MUNI
70045,030210000,CITY OF CHICAGO,MUNI
70046,030210000,CITY OF CHICAGO,MUNI
70047,030210000,CITY OF CHICAGO,MUNI
70048,030210000,CITY OF CHICAGO,MUNI
70049,030210000,CITY OF CHICAGO,MUNI
71001,030210000,CITY OF CHICAGO,MUNI
71024,030210000,CITY OF CHICAGO,MUNI
71027,030210000,CITY OF CHICAGO,MUNI
71028,030210000,CITY OF CHICAGO,MUNI
71029,030210000,CITY OF CHICAGO,MUNI
71031,030210000,CITY OF CHICAGO,MUNI
71032,030210000,CITY OF CHICAGO,MUNI
71033,030210000,CITY OF CHICAGO,MUNI
71034,030210000,CITY OF CHICAGO,MUNI
71035,030210000,CITY OF CHICAGO,MUNI
71036,030210000,CITY OF CHICAGO,MUNI
71037,030210000,CITY OF CHICAGO,MUNI
71038,030210000,CITY OF CHICAGO,MUNI
71039,030210000,CITY OF CHICAGO,MUNI
71040,030210000,CITY OF CHICAGO,MUNI
71041,030210000,CITY OF CHICAGO,MUNI
71042,030210000,CITY OF CHICAGO,MUNI
71043,030210000,CITY OF CHICAGO,MUNI
71044,030210000,CITY OF CHICAGO,MUNI
71045,030210000,CITY OF CHICAGO,MUNI
71046,030210000,CITY OF CHICAGO,MUNI
71047,030210000,CITY OF CHICAGO,MUNI
71048,030210000,CITY OF CHICAGO,MUNI
71049,030210000,CITY OF CHICAGO,MUNI
71050,030210000,CITY OF CHICAGO,MUNI
71051,030210000,CITY OF CHICAGO,MUNI
71052,030210000,CITY OF CHICAGO,MUNI
71053,030210000,CITY OF CHICAGO,MUNI
71054,030210000,CITY OF CHICAGO,MUNI
71055,030210000,CITY OF CHICAGO,MUNI
71056,030210000,CITY OF CHICAGO,MUNI
71057,030210000,CITY OF CHICAGO,MUNI
71058,030210000,CITY OF CHICAGO,MUNI
71059,030210000,CITY OF CHICAGO,MUNI
71060,030210000,CITY OF CHICAGO,MUNI
71061,030210000,CITY OF CHICAGO,MUNI
71062,030210000,CITY OF CHICAGO,MUNI
71063,030210000,CITY OF CHICAGO,MUNI
71064,030210000,CITY OF CHICAGO,MUNI
71065,030210000,CITY OF CHICAGO,MUNI
71066,030210000,CITY OF CHICAGO,MUNI
71067,030210000,CITY OF CHICAGO,MUNI
71068,030210000,CITY OF CHICAGO,MUNI
71069,030210000,CITY OF CHICAGO,MUNI
71070,030210000,CITY OF CHICAGO,MUNI
71071,030210000,CITY OF CHICAGO,MUNI
71072,030210000,CITY OF CHICAGO,MUNI
71073,030210000,CITY OF CHICAGO,MUNI
71074,030210000,CITY OF CHICAGO,MUNI
71075,030210000,CITY OF CHICAGO,MUNI
71076,030210000,CITY OF CHICAGO,MUNI
71077,030210000,CITY OF CHICAGO,MUNI
71078,030210000,CITY OF CHICAGO,MUNI
71079,030210000,CITY OF CHICAGO,MUNI
71080,030210000,CITY OF CHICAGO,MUNI
71081,030210000,CITY OF CHICAGO,MUNI
71082,030210000,CITY OF CHICAGO,MUNI
71083,030210000,CITY OF CHICAGO,MUNI
71084,030210000,CITY OF CHICAGO,MUNI
71085,030210000,CITY OF CHICAGO,MUNI
71086,030210000,CITY OF CHICAGO,MUNI
71087,030210000,CITY OF CHICAGO,MUNI
71088,030210000,CITY OF CHICAGO,MUNI
71089,030210000,CITY OF CHICAGO,MUNI
71090,030210000,CITY OF CHICAGO,MUNI
71091,030210000,CITY OF CHICAGO,MUNI
71092,030210000,CITY OF CHICAGO,MUNI
71093,030210000,CITY OF CHICAGO,MUNI
71094,030210000,CITY OF CHICAGO,MUNI
71095,030210000,CITY OF CHICAGO,MUNI
71096,030210000,CITY OF CHICAGO,MUNI
71097,030210000,CITY OF CHICAGO,MUNI
71098,030210000,CITY OF CHICAGO,MUNI
71099,030210000,CITY OF CHICAGO,MUNI
71100,030210000,CITY OF CHICAGO,MUNI
71101,030210000,CITY OF CHICAGO,MUNI
71102,030210000,CITY OF CHICAGO,MUNI
71103,030210000,CITY OF CHICAGO,MUNI
71104,030210000,CITY OF CHICAGO,MUNI
72001,030210000,CITY OF CHICAGO,MUNI
72003,030210000,CITY OF CHICAGO,MUNI
72004,030210000,CITY OF CHICAGO,MUNI
72005,030210000,CITY OF CHICAGO,MUNI
72006,030210000,CITY OF CHICAGO,MUNI
72007,030210000,CITY OF CHICAGO,MUNI
72008,030210000,CITY OF CHICAGO,MUNI
72009,030210000,CITY OF CHICAGO,MUNI
72010,030210000,CITY OF CHICAGO,MUNI
72011,030210000,CITY OF CHICAGO,MUNI
72012,030210000,CITY OF CHICAGO,MUNI
72013,030210000,CITY OF CHICAGO,MUNI
72014,030210000,CITY OF CHICAGO,MUNI
72015,030210000,CITY OF CHICAGO,MUNI
72016,030210000,CITY OF CHICAGO,MUNI
72017,030210000,CITY OF CHICAGO,MUNI
72018,030210000,CITY OF CHICAGO,MUNI
72019,030210000,CITY OF CHICAGO,MUNI
72020,030210000,CITY OF CHICAGO,MUNI
72021,030210000,CITY OF CHICAGO,MUNI
72022,030210000,CITY OF CHICAGO,MUNI
72023,030210000,CITY OF CHICAGO,MUNI
72024,030210000,CITY OF CHICAGO,MUNI
72025,030210000,CITY OF CHICAGO,MUNI
72026,030210000,CITY OF CHICAGO,MUNI
72027,030210000,CITY OF CHICAGO,MUNI
72028,030210000,CITY OF CHICAGO,MUNI
72029,030210000,CITY OF CHICAGO,MUNI
72030,030210000,CITY OF CHICAGO,MUNI
72031,030210000,CITY OF CHICAGO,MUNI
72032,030210000,CITY OF CHICAGO,MUNI
72033,030210000,CITY OF CHICAGO,MUNI
72034,030210000,CITY OF CHICAGO,MUNI
72035,030210000,CITY OF CHICAGO,MUNI
72036,030210000,CITY OF CHICAGO,MUNI
72037,030210000,CITY OF CHICAGO,MUNI
72038,030210000,CITY OF CHICAGO,MUNI
72039,030210000,CITY OF CHICAGO,MUNI
72040,030210000,CITY OF CHICAGO,MUNI
72041,030210000,CITY OF CHICAGO,MUNI
72042,030210000,CITY OF CHICAGO,MUNI
72043,030210000,CITY OF CHICAGO,MUNI
72044,030210000,CITY OF CHICAGO,MUNI
72045,030210000,CITY OF CHICAGO,MUNI
72046,030210000,CITY OF CHICAGO,MUNI
72047,030210000,CITY OF CHICAGO,MUNI
72048,030210000,CITY OF CHICAGO,MUNI
72049,030210000,CITY OF CHICAGO,MUNI
72050,030210000,CITY OF CHICAGO,MUNI
72051,030210000,CITY OF CHICAGO,MUNI
72052,030210000,CITY OF CHICAGO,MUNI
72053,030210000,CITY OF CHICAGO,MUNI
72054,030210000,CITY OF CHICAGO,MUNI
72055,030210000,CITY OF CHICAGO,MUNI
72056,030210000,CITY OF CHICAGO,MUNI
72057,030210000,CITY OF CHICAGO,MUNI
72058,030210000,CITY OF CHICAGO,MUNI
72059,030210000,CITY OF CHICAGO,MUNI
72060,030210000,CITY OF CHICAGO,MUNI
72061,030210000,CITY OF CHICAGO,MUNI
72062,030210000,CITY OF CHICAGO,MUNI
72063,030210000,CITY OF CHICAGO,MUNI
72064,030210000,CITY OF CHICAGO,MUNI
72065,030210000,CITY OF CHICAGO,MUNI
72066,030210000,CITY OF CHICAGO,MUNI
72067,030210000,CITY OF CHICAGO,MUNI
72068,030210000,CITY OF CHICAGO,MUNI
72069,030210000,CITY OF CHICAGO,MUNI
72070,030210000,CITY OF CHICAGO,MUNI
72071,030210000,CITY OF CHICAGO,MUNI
72072,030210000,CITY OF CHICAGO,MUNI
72073,030210000,CITY OF CHICAGO,MUNI
72074,030210000,CITY OF CHICAGO,MUNI
72075,030210000,CITY OF CHICAGO,MUNI
72076,030210000,CITY OF CHICAGO,MUNI
72077,030210000,CITY OF CHICAGO,MUNI
72078,030210000,CITY OF CHICAGO,MUNI
72079,030210000,CITY OF CHICAGO,MUNI
72080,030210000,CITY OF CHICAGO,MUNI
72081,030210000,CITY OF CHICAGO,MUNI
72082,030210000,CITY OF CHICAGO,MUNI
72083,030210000,CITY OF CHICAGO,MUNI
72084,030210000,CITY OF CHICAGO,MUNI
72085,030210000,CITY OF CHICAGO,MUNI
72086,030210000,CITY OF CHICAGO,MUNI
72087,030210000,CITY OF CHICAGO,MUNI
72088,030210000,CITY OF CHICAGO,MUNI
72090,030210000,CITY OF CHICAGO,MUNI
72091,030210000,CITY OF CHICAGO,MUNI
