tax_code_num,agency_num,agency_name,minor_type
77005,030210000,CITY OF CHICAGO,MUNI
77006,030210000,CITY OF CHICAGO,MUNI
77007,030210000,CITY OF CHICAGO,MUNI
77008,030210000,CITY OF CHICAGO,MUNI
77009,030210000,CITY OF CHICAGO,MUNI
77010,030210000,CITY OF CHICAGO,MUNI
77011,030210000,CITY OF CHICAGO,MUNI
77012,030210000,CITY OF CHICAGO,MUNI
77013,030210000,CITY OF CHICAGO,MUNI
77014,030210000,CITY OF CHICAGO,MUNI
77015,030210000,CITY OF CHICAGO,MUNI
77016,030210000,CITY OF CHICAGO,MUNI
77017,030210000,CITY OF CHICAGO,MUNI
77018,030210000,CITY OF CHICAGO,MUNI
77019,030210000,CITY OF CHICAGO,MUNI
77020,030210000,CITY OF CHICAGO,MUNI
77021,030210000,CITY OF CHICAGO,MUNI
77022,030210000,CITY OF CHICAGO,MUNI
77023,030210000,CITY OF CHICAGO,MUNI
77024,030210000,CITY OF CHICAGO,MUNI
77025,030210000,CITY OF CHICAGO,MUNI
77026,030210000,CITY OF CHICAGO,MUNI
77027,030210000,CITY OF CHICAGO,MUNI
77028,030210000,CITY OF CHICAGO,MUNI
77029,030210000,CITY OF CHICAGO,MUNI
77030,030210000,CITY OF CHICAGO,MUNI
77031,030210000,CITY OF CHICAGO,MUNI
77032,030210000,CITY OF CHICAGO,MUNI
77033,030210000,CITY OF CHICAGO,MUNI
77034,030210000,CITY OF CHICAGO,MUNI
77035,030210000,CITY OF CHICAGO,MUNI
77036,030210000,CITY OF CHICAGO,MUNI
77037,030210000,CITY OF CHICAGO,MUNI
77038,030210000,CITY OF CHICAGO,MUNI
77039,030210000,CITY OF CHICAGO,MUNI
77040,030210000,CITY OF CHICAGO,MUNI
77041,030210000,CITY OF CHICAGO,MUNI
77042,030210000,CITY OF CHICAGO,MUNI
77043,030210000,CITY OF CHICAGO,MUNI
77044,030210000,CITY OF CHICAGO,MUNI
77045,030210000,CITY OF CHICAGO,MUNI
77046,030210000,CITY OF CHICAGO,MUNI
77047,030210000,CITY OF CHICAGO,MUNI
77048,030210000,CITY OF CHICAGO,MUNI
77049,030210000,CITY OF CHICAGO,MUNI
77050,030210000,CITY OF CHICAGO,MUNI
77051,030210000,CITY OF CHICAGO,MUNI
77052,030210000,CITY OF CHICAGO,MUNI
77053,030210000,CITY OF CHICAGO,MUNI
77054,030210000,CITY OF CHICAGO,MUNI
77055,030210000,CITY OF CHICAGO,MUNI
77056,030210000,CITY OF CHICAGO,MUNI
77057,030210000,CITY OF CHICAGO,MUNI
77058,030210000,CITY OF CHICAGO,MUNI
77059,030210000,CITY OF CHICAGO,MUNI
77060,030210000,CITY OF CHICAGO,MUNI
77061,030210000,CITY OF CHICAGO,MUNI
77062,030210000,CITY OF CHICAGO,MUNI
77063,030210000,CITY OF CHICAGO,MUNI
77064,030210000,CITY OF CHICAGO,MUNI
77065,030210000,CITY OF CHICAGO,MUNI
77066,030210000,CITY OF CHICAGO,MUNI
77067,030210000,CITY OF CHICAGO,MUNI
77068,030210000,CITY OF CHICAGO,MUNI
77069,030210000,CITY OF CHICAGO,MUNI
77070,030210000,CITY OF CHICAGO,MUNI
